"Player","Pos","Team                     Signed With","Age                     At Signing","Start","End","Yrs","Value","AAV","2-Year Cash","3-Year Cash"
"Russell Westbrook","PG","OKC                  OKC","29","2018","2022","5","$206,794,070","$41,358,814","$72,957,302","$113,116,116"
"Chris Paul","PG","HOU                  HOU","32","2018","2021","4","$159,730,592","$39,932,648","$71,753,977","$113,112,791"
"LeBron James","PF","LAL                  LAL","33","2018","2021","4","$153,312,846","$38,328,212","$73,091,008","$112,310,574"
"Nikola Jokic","C","DEN                  DEN","22","2018","2022","5","$147,710,050","$29,542,010","$52,183,877","$81,725,887"
"Andrew Wiggins","SF","MIN                  MIN","22","2018","2022","5","$147,710,050","$29,542,010","$34,625,748","$64,167,758"
"Joel Embiid","C","PHI                  PHI","23","2018","2022","5","$147,710,050","$29,542,010","$51,252,841","$80,794,851"
"Paul George","SG","OKC                  OKC","27","2018","2021","4","$136,911,936","$34,227,984","$63,566,256","$96,953,821"
"Clint Capela","C","HOU                  HOU","23","2018","2022","5","$90,000,000","$18,000,000","$19,768,556","$37,268,556"
"Gary Harris","SG","DEN                  DEN","23","2018","2021","4","$84,000,000","$21,000,000","$33,692,188","$40,647,790"
"Aaron Gordon","PF","ORL                  ORL","22","2018","2021","4","$80,000,000","$20,000,000","$40,213,068","$46,796,817"
"Zach LaVine","SG","CHI                  CHI","22","2018","2021","4","$78,000,000","$19,500,000","$37,781,250","$57,281,250"
"Kevin Durant","SF","GSW                  GSW","29","2018","2019","2","$61,500,000","$30,750,000","$61,500,000","$61,500,000"
"Will Barton","SG","DEN                  DEN","26","2018","2021","4","$53,000,000","$13,250,000","$23,808,595","$37,531,809"
"Marcus Smart","PG","BOS                  BOS","23","2018","2021","4","$51,999,900","$12,999,975","$23,429,595","$36,876,023"
"Jusuf Nurkic","C","POR                  POR","23","2018","2021","4","$48,000,000","$12,000,000","$26,032,986","$38,921,875"
"T.J. Warren","SF","PHX                  PHX","24","2018","2021","4","$47,000,000","$11,750,000","$21,884,375","$33,634,375"
"Robert Covington","PF","PHI                  PHI","27","2018","2021","4","$46,879,127","$11,719,782","$12,813,044","$24,951,389"
"Norman Powell","SG","TOR                  TOR","24","2018","2021","4","$41,965,056","$10,491,264","$18,851,490","$22,795,979"
"Josh Richardson","SG","MIA                  MIA","24","2018","2021","4","$41,965,056","$10,491,264","$18,851,490","$29,717,442"
"Deandre Ayton","C","PHX                  PHX","19","2018","2021","4","$40,379,230","$10,094,808","$17,130,398","$27,148,598"
